Date,Opponent,Result,Competition
2026/05/17,The Bees FC,W 1-0,Motsepe Foundation Championship
2026/05/10,Gomora United FC,W 1-0,Motsepe Foundation Championship
2026/05/02,Black Leopards,W 3-1,Motsepe Foundation Championship
2026/04/26,Baroka FC,W 3-0,Motsepe Foundation Championship
2026/04/22,Cape Town City,W 2-1,Motsepe Foundation Championship
2026/04/18,Midlands Wanderers,W 3-0,Motsepe Foundation Championship
2025/12/06,Highbury FC,W 2-1,Motsepe Foundation Championship
2025/12/02,Lerumo Lions FC,W 2-1,Motsepe Foundation Championship
2025/03/20,Casric Stars FC,L 0-4,Motsepe Foundation Championship
2026/03/14,Milford FC,W 1-0,Motsepe Foundation Championship
2026/03/07,Leicesterford City FC,D 1-1,Motsepe Foundation Championship
